Nama Lokasi,Jam Login,Nama,Email,No Telepon,Tahun Lahir,Merk HP,Minat Digital,Tipe Lokasi,Usia,Generasi,Waktu Sesi,Skor Minat Digital,Status Aktif,Domain Email
Jakarta Pusat,14:47,"Balidin Dongoran, S.T.",ivanmandala@example.net,0846-5012-4657,1971,Samsung,Rendah,Urban,55,Gen X,Siang,25,Kurang Aktif,example.net
Denpasar,12:37,Murti Palastri,rahayusurya@example.org,0865-1520-1488,1975,Samsung,Rendah,Tourism,51,Gen X,Siang,25,Aktif,example.org
Palembang,15:35,Bakiman Pratama,corneliasuartini@example.org,0836-9928-7873,1971,Vivo,Sedang,Suburban,55,Gen X,Siang,50,Kurang Aktif,example.org
Jakarta Selatan,19:44,Sutan Nasrullah Yulianti,cprasetya@example.net,0865-6574-5552,1980,Infinix,Sedang,Urban,46,Gen X,Sore,50,Aktif,example.net
Medan,12:05,Yessi Ardianto,zeldaanggraini@example.com,0859-2584-6881,1976,Vivo,Tinggi,Urban,50,Gen X,Siang,75,Aktif,example.com
Jakarta Selatan,12:34,Eva Pratama,damu16@example.org,0826-7201-2291,1999,Apple,Tinggi,Urban,27,Gen Z,Siang,75,Aktif,example.org
Palembang,19:36,Zulfa Situmorang,bakianto78@example.org,0835-2139-1750,1993,Apple,Tinggi,Suburban,33,Millennial,Sore,75,Aktif,example.org
Jakarta Pusat,16:55,Cindy Puspasari,restu95@example.net,0823-7227-5554,1984,Realme,Sedang,Urban,42,Millennial,Sore,50,Kurang Aktif,example.net
Bandung,11:22,Niyaga Hidayat,wijayantijaga@example.com,0837-5374-2169,1993,Samsung,Tinggi,Urban,33,Millennial,Siang,75,Aktif,example.com
Surabaya,15:29,Sabar Pradipta,wibowokala@example.com,0859-5422-4598,1980,Realme,Tinggi,Urban,46,Gen X,Siang,75,Kurang Aktif,example.com
Jakarta Selatan,11:52,"Rafid Utama, S.E.",nyana34@example.net,0815-6168-7572,1984,Samsung,Sedang,Urban,42,Millennial,Siang,50,Aktif,example.net
Palembang,11:13,"Marsudi Hidayanto, M.Ak",farhunnisaprasasta@example.org,0894-9179-7482,1990,Vivo,Sangat Tinggi,Suburban,36,Millennial,Siang,95,Aktif,example.org
Bandung,13:08,Kezia Saputra,yessisimbolon@example.org,0842-9830-5304,1986,Xiaomi,Tinggi,Urban,40,Millennial,Siang,75,Aktif,example.org
Palembang,05:23,Rizki Firmansyah,rama41@example.org,0839-3266-9348,1995,Apple,Sedang,Suburban,31,Millennial,Pagi,50,Kurang Aktif,example.org
Jakarta Pusat,06:40,dr. Gabriella Yolanda,pwidodo@example.com,0831-7916-2040,1979,Vivo,Sedang,Urban,47,Gen X,Pagi,50,Kurang Aktif,example.com
Semarang,10:16,Eman Mandala,iriananasyiah@example.com,0881-1188-2876,2003,OPPO,Tinggi,Urban,23,Gen Z,Pagi,75,Kurang Aktif,example.com
Yogyakarta,08:07,"Restu Aryani, M.Farm",otarihoran@example.org,0848-8123-3591,1991,Infinix,Sedang,Tourism,35,Millennial,Pagi,50,Kurang Aktif,example.org
Yogyakarta,14:48,drg. Bakijan Hardiansyah,mangunsongratna@example.org,0833-9317-2743,2002,Xiaomi,Sangat Tinggi,Tourism,24,Gen Z,Siang,95,Kurang Aktif,example.org
Denpasar,09:09,"Ir. Indra Riyanti, S.Pt",mwibowo@example.com,0858-3646-9837,1982,Infinix,Sangat Tinggi,Tourism,44,Millennial,Pagi,95,Kurang Aktif,example.com
Jakarta Selatan,07:31,T. Kadir Anggriawan,zulaikagasti@example.com,0813-2832-6947,1990,Realme,Sangat Tinggi,Urban,36,Millennial,Pagi,95,Kurang Aktif,example.com
